SessionID;StudentLevel;Discipline;SessionDate;SessionLengthMin;TotalPrompts;TaskType;AI_AssistanceLevel;FinalOutcome;UsedAgain;SatisfactionRating
SESSION00029;Undergraduate;Psychology;20/02/2025;2728;6;Studying;2;Confused;FALSO;34
SESSION00030;Undergraduate;Engineering;26/02/2025;503;2;Studying;3;Confused;FALSO;25
SESSION00031;High School;Biology;28/12/2024;2379;6;Studying;3;Gave Up;FALSO;24
SESSION00032;Undergraduate;Computer Science;20/04/2025;1904;7;Studying;3;Idea Drafted;FALSO;33
SESSION00033;High School;Psychology;06/02/2025;2289;10;Coding;3;Idea Drafted;VERDADERO;26
SESSION00034;Undergraduate;Business;10/04/2025;1059;4;Writing;3;Gave Up;FALSO;39
SESSION00035;Undergraduate;Math;21/03/2025;251;7;Coding;4;Confused;VERDADERO;43
SESSION00036;Undergraduate;Biology;19/07/2024;576;1;Writing;1;Confused;VERDADERO;12
SESSION00037;Undergraduate;Engineering;09/04/2025;3379;8;Writing;2;Assignment Completed;FALSO;16
SESSION00038;Undergraduate;Psychology;20/09/2024;1364;5;Writing;2;Assignment Completed;VERDADERO;26
SESSION00039;High School;Biology;14/05/2025;248;1;Studying;2;Idea Drafted;VERDADERO;22
SESSION00040;Graduate;Engineering;06/03/2025;1177;3;Coding;4;Assignment Completed;VERDADERO;44
SESSION00041;Undergraduate;Computer Science;21/06/2025;3329;15;Writing;2;Idea Drafted;VERDADERO;17
SESSION00042;Undergraduate;Biology;13/06/2025;2027;6;Studying;3;Confused;FALSO;34
SESSION00043;High School;History;23/04/2025;3363;7;Homework Help;4;Assignment Completed;VERDADERO;50
SESSION00044;Undergraduate;Psychology;01/01/2025;454;1;Writing;5;Confused;FALSO;46
SESSION00045;Undergraduate;Biology;26/01/2025;1508;3;Writing;4;Assignment Completed;VERDADERO;48
SESSION00046;High School;Math;19/04/2025;2797;6;Writing;3;Assignment Completed;VERDADERO;14
SESSION00047;High School;Engineering;18/12/2024;4611;12;Homework Help;4;Assignment Completed;VERDADERO;34
SESSION00048;Undergraduate;Biology;21/11/2024;1325;4;Research;2;Confused;FALSO;14
SESSION00049;Graduate;Engineering;27/10/2024;169;6;Studying;3;Assignment Completed;VERDADERO;37
SESSION00050;Graduate;History;28/02/2025;2849;5;Writing;5;Assignment Completed;VERDADERO;50
SESSION00051;Undergraduate;Psychology;14/11/2024;1343;3;Studying;2;Idea Drafted;VERDADERO;23
SESSION00052;Graduate;Business;09/09/2024;2272;11;Studying;2;Assignment Completed;VERDADERO;10
SESSION00053;Undergraduate;Computer Science;08/06/2025;798;1;Research;4;Idea Drafted;VERDADERO;42
SESSION00054;High School;Biology;10/07/2024;1552;3;Writing;5;Assignment Completed;VERDADERO;50
SESSION00055;Undergraduate;Psychology;08/07/2024;698;2;Coding;2;Idea Drafted;VERDADERO;28
SESSION00056;Undergraduate;Engineering;16/12/2024;625;2;Coding;4;Assignment Completed;VERDADERO;50
SESSION00057;High School;Engineering;05/09/2024;5892;19;Homework Help;4;Assignment Completed;VERDADERO;39
SESSION00058;Undergraduate;Biology;25/06/2024;956;4;Coding;3;Assignment Completed;VERDADERO;49
SESSION00059;High School;Business;31/01/2025;3158;9;Studying;4;Idea Drafted;VERDADERO;46
SESSION00060;Graduate;Psychology;09/11/2024;238;1;Studying;5;Assignment Completed;FALSO;45
SESSION00061;Undergraduate;Computer Science;30/06/2024;1772;6;Homework Help;2;Assignment Completed;VERDADERO;31
SESSION00062;Undergraduate;Math;09/03/2025;1478;7;Coding;3;Assignment Completed;FALSO;25
SESSION00063;Undergraduate;Computer Science;21/06/2025;106;2;Coding;2;Assignment Completed;VERDADERO;17
SESSION00064;Undergraduate;Business;15/11/2024;547;1;Homework Help;4;Assignment Completed;VERDADERO;39
SESSION00065;High School;Psychology;02/03/2025;122;2;Brainstorming;4;Idea Drafted;VERDADERO;44
SESSION00066;Undergraduate;Biology;02/11/2024;889;3;Coding;3;Assignment Completed;VERDADERO;27
SESSION00067;Undergraduate;Computer Science;02/12/2024;684;1;Studying;3;Idea Drafted;VERDADERO;25
SESSION00068;Undergraduate;Business;11/04/2025;1279;2;Coding;3;Assignment Completed;VERDADERO;38
SESSION00069;Undergraduate;History;15/05/2025;412;12;Studying;3;Idea Drafted;VERDADERO;31
SESSION00070;Graduate;Computer Science;26/06/2024;1656;6;Homework Help;2;Assignment Completed;VERDADERO;30
SESSION00071;Undergraduate;Engineering;24/10/2024;104;3;Studying;4;Idea Drafted;VERDADERO;50
SESSION00072;Undergraduate;Business;24/05/2025;1104;5;Coding;3;Confused;FALSO;23
SESSION00073;Undergraduate;Math;20/12/2024;53;1;Coding;3;Assignment Completed;VERDADERO;23
SESSION00074;High School;Engineering;27/07/2024;1402;4;Studying;4;Confused;FALSO;44
SESSION00075;High School;Psychology;15/08/2024;4967;10;Writing;5;Assignment Completed;FALSO;50
SESSION00076;Graduate;Biology;17/05/2025;134;3;Studying;4;Assignment Completed;VERDADERO;50
SESSION00077;Undergraduate;Engineering;31/07/2024;268;8;Writing;3;Idea Drafted;VERDADERO;25
SESSION00078;Undergraduate;History;09/02/2025;729;1;Coding;5;Assignment Completed;VERDADERO;50
SESSION00079;Graduate;Business;12/01/2025;4837;20;Homework Help;3;Assignment Completed;VERDADERO;32
SESSION00080;Undergraduate;History;28/01/2025;3705;13;Coding;2;Idea Drafted;VERDADERO;18
SESSION00081;Undergraduate;History;17/04/2025;1594;6;Homework Help;3;Assignment Completed;FALSO;43
SESSION00082;Undergraduate;Computer Science;08/08/2024;164;4;Studying;4;Assignment Completed;VERDADERO;42
SESSION00083;Undergraduate;Math;09/02/2025;1956;7;Brainstorming;5;Confused;FALSO;50
SESSION00084;Graduate;Business;15/08/2024;1148;2;Homework Help;3;Idea Drafted;VERDADERO;25
SESSION00085;Undergraduate;Business;24/12/2024;1628;3;Writing;2;Idea Drafted;FALSO;15
SESSION00086;High School;Math;01/01/2025;734;2;Writing;2;Confused;FALSO;26
SESSION00087;Graduate;Business;24/01/2025;1632;3;Coding;5;Assignment Completed;VERDADERO;42
SESSION00088;High School;Business;24/01/2025;1488;5;Homework Help;3;Assignment Completed;VERDADERO;41
SESSION00089;Undergraduate;History;01/04/2025;1459;4;Homework Help;3;Assignment Completed;VERDADERO;35
SESSION00090;Undergraduate;Business;15/04/2025;465;1;Studying;4;Confused;FALSO;31
SESSION00091;Undergraduate;Computer Science;03/11/2024;2483;8;Writing;3;Assignment Completed;VERDADERO;34
SESSION00092;Undergraduate;Biology;09/08/2024;1039;2;Writing;5;Assignment Completed;FALSO;50
SESSION00093;Undergraduate;Math;21/02/2025;3549;16;Homework Help;5;Confused;VERDADERO;50
SESSION00094;Graduate;History;04/05/2025;129;3;Homework Help;2;Confused;VERDADERO;10
SESSION00095;High School;Business;06/07/2024;977;2;Homework Help;2;Assignment Completed;VERDADERO;20
SESSION00096;Graduate;Biology;25/04/2025;1112;4;Writing;4;Gave Up;FALSO;39
SESSION00097;High School;History;14/05/2025;3082;14;Homework Help;4;Assignment Completed;VERDADERO;23
SESSION00098;Undergraduate;Engineering;26/02/2025;2726;7;Homework Help;3;Gave Up;VERDADERO;28
SESSION00099;Undergraduate;Math;25/10/2024;1117;3;Studying;4;Idea Drafted;VERDADERO;27
SESSION00100;Graduate;Psychology;27/09/2024;468;1;Studying;3;Confused;FALSO;28
SESSION00101;Graduate;Biology;23/10/2024;2433;5;Homework Help;4;Assignment Completed;VERDADERO;35
SESSION00102;Undergraduate;Engineering;18/01/2025;1616;4;Studying;4;Assignment Completed;VERDADERO;19
SESSION00103;Undergraduate;Business;09/05/2025;875;3;Homework Help;3;Idea Drafted;VERDADERO;10
SESSION00104;Undergraduate;Psychology;06/12/2024;149;3;Writing;3;Idea Drafted;FALSO;16
SESSION00105;Undergraduate;Biology;15/10/2024;148;5;Coding;3;Assignment Completed;VERDADERO;30
SESSION00106;Undergraduate;Business;09/07/2024;782;2;Studying;4;Idea Drafted;VERDADERO;37
SESSION00107;Undergraduate;Psychology;23/05/2025;3945;8;Studying;4;Idea Drafted;VERDADERO;32
SESSION00108;High School;Business;04/08/2024;1663;4;Studying;1;Confused;FALSO;15
SESSION00109;Graduate;Math;15/07/2024;4183;16;Studying;2;Idea Drafted;FALSO;19
SESSION00110;Graduate;Engineering;23/06/2025;1597;6;Writing;3;Assignment Completed;VERDADERO;35
SESSION00111;Graduate;Computer Science;18/10/2024;3943;16;Research;4;Gave Up;FALSO;50
SESSION00112;Undergraduate;Biology;09/03/2025;2836;7;Writing;4;Assignment Completed;VERDADERO;39
SESSION00113;Undergraduate;Biology;16/08/2024;1094;5;Coding;5;Idea Drafted;VERDADERO;36
SESSION00114;Undergraduate;Psychology;21/03/2025;255;6;Homework Help;3;Assignment Completed;VERDADERO;36
SESSION00115;High School;Math;02/10/2024;2319;9;Homework Help;4;Assignment Completed;FALSO;29
SESSION00116;High School;Business;06/05/2025;1361;3;Writing;3;Idea Drafted;VERDADERO;36
SESSION00117;Graduate;Psychology;18/11/2024;1801;4;Writing;3;Idea Drafted;VERDADERO;31
SESSION00118;Undergraduate;Biology;22/08/2024;228;4;Writing;4;Confused;FALSO;37
SESSION00119;Undergraduate;Computer Science;11/10/2024;1591;5;Research;4;Idea Drafted;FALSO;31
SESSION00120;Undergraduate;Math;03/11/2024;2093;9;Studying;5;Assignment Completed;VERDADERO;50
SESSION00121;Undergraduate;History;20/05/2025;3388;7;Writing;5;Idea Drafted;VERDADERO;43
SESSION00122;High School;Biology;01/12/2024;712;3;Brainstorming;3;Assignment Completed;FALSO;24
SESSION00123;Undergraduate;Engineering;22/07/2024;1937;4;Studying;2;Gave Up;FALSO;27
SESSION00124;Undergraduate;Math;16/01/2025;1679;4;Brainstorming;5;Confused;FALSO;44
SESSION00125;Graduate;Biology;12/11/2024;1361;3;Brainstorming;5;Assignment Completed;VERDADERO;36
SESSION00126;Undergraduate;Math;23/07/2024;1928;5;Writing;3;Assignment Completed;FALSO;25
SESSION00127;Graduate;Biology;03/01/2025;1664;4;Studying;3;Gave Up;VERDADERO;25
SESSION00128;Undergraduate;Psychology;21/10/2024;1861;4;Writing;5;Assignment Completed;VERDADERO;44
SESSION00129;High School;Computer Science;06/04/2025;1437;4;Research;5;Assignment Completed;FALSO;47
SESSION00130;Undergraduate;Psychology;18/10/2024;36;1;Writing;4;Assignment Completed;VERDADERO;49
SESSION00131;Undergraduate;History;29/11/2024;3772;7;Writing;3;Assignment Completed;VERDADERO;29
SESSION00132;Undergraduate;Math;02/07/2024;805;2;Coding;5;Assignment Completed;VERDADERO;45
SESSION00133;Undergraduate;Psychology;04/07/2024;2021;5;Studying;3;Idea Drafted;FALSO;26
SESSION00134;Graduate;Psychology;12/10/2024;1406;3;Homework Help;5;Gave Up;FALSO;50
SESSION00135;Undergraduate;Computer Science;29/10/2024;1582;4;Writing;4;Idea Drafted;VERDADERO;36
SESSION00136;High School;Computer Science;03/09/2024;697;2;Studying;4;Gave Up;FALSO;42
SESSION00137;Undergraduate;Business;27/03/2025;254;1;Coding;5;Idea Drafted;VERDADERO;50
SESSION00138;Graduate;Psychology;30/07/2024;1073;4;Writing;4;Idea Drafted;FALSO;50
SESSION00139;Undergraduate;Business;27/05/2025;1837;4;Coding;5;Assignment Completed;VERDADERO;50
SESSION00140;Graduate;Math;16/08/2024;862;2;Coding;3;Assignment Completed;VERDADERO;21
SESSION00141;Undergraduate;Computer Science;20/06/2025;2352;11;Writing;3;Assignment Completed;VERDADERO;23
SESSION00142;Undergraduate;History;13/01/2025;2013;5;Research;5;Idea Drafted;FALSO;50
SESSION00143;Graduate;History;13/02/2025;1546;4;Studying;5;Confused;FALSO;50
SESSION00144;Undergraduate;History;11/02/2025;1486;6;Brainstorming;3;Assignment Completed;VERDADERO;27
SESSION00145;Graduate;Computer Science;20/05/2025;1814;6;Coding;3;Assignment Completed;VERDADERO;23
SESSION00146;High School;Business;01/08/2024;1664;7;Brainstorming;5;Assignment Completed;VERDADERO;50
SESSION00147;Undergraduate;Math;11/11/2024;3116;6;Writing;3;Idea Drafted;VERDADERO;28
SESSION00148;Undergraduate;Engineering;07/08/2024;1121;3;Studying;3;Idea Drafted;VERDADERO;16
SESSION00149;Undergraduate;Psychology;30/07/2024;1041;2;Writing;4;Assignment Completed;VERDADERO;28
SESSION00150;Undergraduate;Math;04/10/2024;2697;6;Homework Help;4;Confused;FALSO;37
SESSION00151;High School;Computer Science;18/04/2025;2246;10;Studying;3;Confused;VERDADERO;26
SESSION00152;Graduate;Psychology;31/10/2024;753;2;Studying;4;Assignment Completed;VERDADERO;32
SESSION00153;Graduate;Biology;25/10/2024;1495;3;Coding;4;Idea Drafted;VERDADERO;22
SESSION00154;Undergraduate;Engineering;04/06/2025;157;5;Homework Help;5;Assignment Completed;VERDADERO;33
SESSION00155;Graduate;Computer Science;11/08/2024;2573;8;Homework Help;4;Assignment Completed;VERDADERO;37
SESSION00156;Undergraduate;Business;02/09/2024;761;3;Homework Help;3;Assignment Completed;VERDADERO;32
SESSION00157;Undergraduate;Business;02/02/2025;2022;6;Homework Help;2;Assignment Completed;VERDADERO;10
SESSION00158;Undergraduate;Business;14/09/2024;1404;3;Coding;4;Idea Drafted;VERDADERO;42
SESSION00159;Graduate;Computer Science;05/02/2025;1247;4;Homework Help;2;Assignment Completed;VERDADERO;38
SESSION00160;Undergraduate;Engineering;30/04/2025;651;1;Coding;4;Assignment Completed;VERDADERO;40
SESSION00161;Undergraduate;Business;24/07/2024;1177;4;Coding;3;Assignment Completed;VERDADERO;29
SESSION00162;Undergraduate;History;21/09/2024;131;2;Writing;3;Assignment Completed;VERDADERO;13
SESSION00163;Graduate;Psychology;13/07/2024;322;1;Homework Help;5;Assignment Completed;VERDADERO;48
SESSION00164;High School;Engineering;09/10/2024;1177;2;Writing;5;Assignment Completed;FALSO;44
SESSION00165;High School;Computer Science;22/10/2024;804;1;Writing;3;Assignment Completed;FALSO;33
SESSION00166;High School;Business;16/05/2025;832;1;Studying;2;Idea Drafted;FALSO;10
SESSION00167;High School;Computer Science;15/04/2025;1118;3;Homework Help;3;Confused;VERDADERO;32
SESSION00168;Undergraduate;Math;23/01/2025;4008;9;Coding;4;Assignment Completed;VERDADERO;41
SESSION00169;Undergraduate;Engineering;13/04/2025;802;2;Coding;4;Assignment Completed;VERDADERO;47
SESSION00170;Undergraduate;Computer Science;20/01/2025;685;1;Writing;4;Confused;FALSO;47
SESSION00171;Undergraduate;Business;13/06/2025;2499;5;Studying;4;Idea Drafted;VERDADERO;33
SESSION00172;Undergraduate;Engineering;23/05/2025;12;1;Studying;4;Assignment Completed;FALSO;39
SESSION00173;Undergraduate;Engineering;24/07/2024;2111;8;Homework Help;3;Assignment Completed;VERDADERO;33
SESSION00174;High School;Math;05/05/2025;1304;3;Writing;2;Confused;FALSO;10
SESSION00175;Undergraduate;Engineering;27/03/2025;2031;7;Studying;4;Idea Drafted;VERDADERO;40
SESSION00176;Undergraduate;Psychology;23/01/2025;1666;3;Writing;3;Assignment Completed;VERDADERO;31
SESSION00177;Undergraduate;Business;22/06/2025;1347;2;Writing;4;Assignment Completed;VERDADERO;38
SESSION00178;Undergraduate;Biology;03/02/2025;927;2;Writing;4;Assignment Completed;VERDADERO;50
SESSION00179;Undergraduate;Engineering;27/05/2025;1143;2;Writing;3;Assignment Completed;VERDADERO;33
SESSION00180;Graduate;Psychology;19/03/2025;1955;8;Coding;3;Confused;FALSO;12
SESSION00181;Undergraduate;Computer Science;22/01/2025;834;2;Writing;3;Assignment Completed;VERDADERO;49
SESSION00182;Undergraduate;Computer Science;17/10/2024;355;1;Studying;3;Idea Drafted;VERDADERO;23
SESSION00183;Undergraduate;Psychology;10/06/2025;993;3;Coding;5;Assignment Completed;VERDADERO;50
SESSION00184;High School;Business;24/01/2025;364;1;Writing;5;Idea Drafted;VERDADERO;44
SESSION00185;Undergraduate;Business;06/03/2025;388;8;Writing;3;Idea Drafted;VERDADERO;34
SESSION00186;High School;Psychology;17/10/2024;89;2;Studying;5;Confused;FALSO;47
SESSION00187;Undergraduate;Business;02/08/2024;2062;4;Writing;2;Assignment Completed;VERDADERO;21
SESSION00188;Graduate;Biology;06/06/2025;2727;6;Coding;5;Assignment Completed;VERDADERO;45
SESSION00189;Undergraduate;Biology;27/11/2024;3967;19;Coding;4;Assignment Completed;FALSO;39
SESSION00190;High School;Math;12/04/2025;945;3;Homework Help;4;Assignment Completed;VERDADERO;35
SESSION00191;Undergraduate;Computer Science;20/06/2025;1343;2;Writing;3;Gave Up;VERDADERO;39
SESSION00192;Undergraduate;Computer Science;09/07/2024;1171;3;Homework Help;3;Confused;VERDADERO;29
SESSION00193;Graduate;Computer Science;23/10/2024;1622;5;Homework Help;3;Assignment Completed;VERDADERO;32
SESSION00194;Undergraduate;Biology;15/06/2025;1903;4;Studying;3;Gave Up;FALSO;36
SESSION00195;Undergraduate;Computer Science;30/05/2025;1037;4;Studying;4;Confused;FALSO;43
SESSION00196;Undergraduate;Business;04/12/2024;3705;14;Studying;5;Idea Drafted;VERDADERO;50
SESSION00197;Undergraduate;Business;30/07/2024;2661;5;Brainstorming;4;Assignment Completed;FALSO;33
SESSION00198;Undergraduate;Computer Science;06/03/2025;7282;25;Homework Help;2;Gave Up;FALSO;20
SESSION00199;Graduate;Computer Science;31/10/2024;2443;5;Homework Help;5;Assignment Completed;FALSO;50
SESSION00200;Undergraduate;Business;06/10/2024;1552;4;Studying;2;Confused;FALSO;28
SESSION00201;Graduate;Business;07/04/2025;168;1;Homework Help;3;Confused;VERDADERO;17
SESSION00202;Graduate;Computer Science;14/07/2024;1399;2;Homework Help;3;Confused;FALSO;43
SESSION00203;Undergraduate;History;16/08/2024;2358;6;Coding;4;Idea Drafted;FALSO;39
SESSION00204;High School;Biology;20/07/2024;193;6;Studying;4;Assignment Completed;VERDADERO;25
SESSION00205;High School;Biology;30/07/2024;3113;6;Homework Help;4;Assignment Completed;VERDADERO;25
SESSION00206;Graduate;Psychology;07/02/2025;1496;4;Studying;2;Idea Drafted;VERDADERO;18
SESSION00207;Undergraduate;Business;25/06/2024;4716;17;Studying;4;Assignment Completed;VERDADERO;33
SESSION00208;Undergraduate;Biology;04/08/2024;448;1;Homework Help;3;Assignment Completed;VERDADERO;32
SESSION00209;Undergraduate;Engineering;05/06/2025;3995;9;Homework Help;4;Gave Up;FALSO;39
SESSION00210;Undergraduate;History;26/12/2024;4804;10;Coding;5;Confused;FALSO;39
SESSION00211;Undergraduate;Math;10/07/2024;755;3;Writing;4;Gave Up;FALSO;50
SESSION00212;High School;Engineering;23/12/2024;202;5;Studying;3;Assignment Completed;FALSO;40
SESSION00213;Undergraduate;Psychology;04/05/2025;2035;7;Coding;4;Assignment Completed;FALSO;50
SESSION00214;Undergraduate;Computer Science;11/11/2024;8415;31;Homework Help;5;Confused;FALSO;50
SESSION00215;Undergraduate;Business;28/11/2024;1054;4;Writing;5;Idea Drafted;VERDADERO;50
SESSION00216;High School;History;20/01/2025;576;1;Homework Help;5;Assignment Completed;VERDADERO;50
SESSION00217;Undergraduate;Engineering;04/08/2024;1093;3;Research;1;Confused;FALSO;20
SESSION00218;Undergraduate;Biology;04/10/2024;1112;2;Homework Help;3;Assignment Completed;VERDADERO;25
SESSION00219;Undergraduate;Psychology;24/08/2024;431;12;Studying;3;Idea Drafted;VERDADERO;30
SESSION00220;Graduate;Math;08/02/2025;518;1;Studying;4;Assignment Completed;VERDADERO;49
SESSION00221;Graduate;Business;23/06/2025;2358;6;Writing;3;Idea Drafted;VERDADERO;32
SESSION00222;Undergraduate;Engineering;27/01/2025;3016;11;Homework Help;2;Assignment Completed;VERDADERO;24
SESSION00223;Undergraduate;Biology;06/06/2025;1716;5;Coding;3;Assignment Completed;VERDADERO;24
SESSION00224;High School;History;28/04/2025;2437;6;Writing;3;Assignment Completed;VERDADERO;44
SESSION00225;Graduate;Engineering;28/09/2024;1524;5;Studying;4;Assignment Completed;FALSO;43
SESSION00226;Graduate;Biology;25/07/2024;4481;11;Writing;5;Assignment Completed;VERDADERO;49
SESSION00227;High School;History;31/10/2024;1858;8;Research;5;Confused;FALSO;38
SESSION00228;Graduate;Math;28/08/2024;1151;3;Homework Help;5;Assignment Completed;VERDADERO;50
SESSION00229;Graduate;Business;03/09/2024;6293;17;Writing;2;Assignment Completed;FALSO;19
SESSION00230;Undergraduate;Computer Science;02/03/2025;333;7;Coding;3;Confused;FALSO;23
SESSION00231;Graduate;Psychology;15/06/2025;1847;8;Studying;4;Idea Drafted;FALSO;37
SESSION00232;Undergraduate;Psychology;30/01/2025;4697;20;Homework Help;3;Assignment Completed;VERDADERO;10
SESSION00233;Undergraduate;Business;23/03/2025;1677;4;Writing;2;Assignment Completed;VERDADERO;15
SESSION00234;High School;History;26/05/2025;1587;3;Coding;4;Assignment Completed;VERDADERO;33
SESSION00235;Undergraduate;Psychology;03/08/2024;1521;7;Writing;2;Assignment Completed;VERDADERO;11
SESSION00236;Undergraduate;Computer Science;23/02/2025;3303;10;Writing;2;Assignment Completed;FALSO;20
SESSION00237;Undergraduate;Psychology;05/05/2025;281;10;Coding;3;Assignment Completed;VERDADERO;33
SESSION00238;Undergraduate;Business;30/06/2024;1052;4;Writing;4;Assignment Completed;VERDADERO;35
SESSION00239;Graduate;Math;23/12/2024;3941;8;Writing;3;Assignment Completed;VERDADERO;30
SESSION00240;Undergraduate;Psychology;16/09/2024;887;4;Homework Help;3;Confused;FALSO;41
SESSION00241;Undergraduate;Engineering;03/04/2025;281;13;Writing;5;Idea Drafted;VERDADERO;50
SESSION00242;Graduate;Biology;26/03/2025;557;2;Writing;5;Gave Up;FALSO;47
SESSION00243;Undergraduate;Business;12/08/2024;48;2;Homework Help;2;Assignment Completed;VERDADERO;24
SESSION00244;Undergraduate;Computer Science;28/08/2024;1072;3;Writing;3;Confused;FALSO;36
SESSION00245;Undergraduate;Engineering;06/04/2025;201;5;Coding;4;Assignment Completed;VERDADERO;42
SESSION00246;Undergraduate;Biology;09/05/2025;918;4;Homework Help;2;Idea Drafted;VERDADERO;22
SESSION00247;Graduate;Biology;25/05/2025;1791;7;Studying;5;Idea Drafted;VERDADERO;33
SESSION00248;Graduate;Business;16/03/2025;1727;4;Coding;4;Assignment Completed;VERDADERO;46
SESSION00249;High School;History;07/01/2025;2281;6;Homework Help;4;Assignment Completed;VERDADERO;31
SESSION00250;Undergraduate;Biology;24/09/2024;2742;5;Homework Help;3;Assignment Completed;FALSO;42
SESSION00251;Undergraduate;History;29/11/2024;1308;4;Homework Help;3;Assignment Completed;VERDADERO;40
SESSION00252;Undergraduate;History;26/06/2024;2574;6;Studying;3;Confused;FALSO;35
SESSION00253;Graduate;Biology;15/03/2025;1192;4;Studying;1;Assignment Completed;VERDADERO;10
SESSION00254;Graduate;Business;13/01/2025;2344;6;Coding;5;Assignment Completed;VERDADERO;50
SESSION00255;Undergraduate;Math;29/05/2025;1944;7;Brainstorming;4;Idea Drafted;VERDADERO;38
SESSION00256;Undergraduate;Business;08/10/2024;121;2;Studying;5;Idea Drafted;VERDADERO;47
SESSION00257;Undergraduate;Computer Science;02/02/2025;3253;11;Studying;3;Idea Drafted;VERDADERO;21
SESSION00258;Graduate;Psychology;28/04/2025;1169;4;Homework Help;3;Assignment Completed;VERDADERO;26
SESSION00259;High School;Psychology;03/04/2025;3698;9;Writing;4;Confused;FALSO;46
SESSION00260;Undergraduate;Biology;21/04/2025;558;1;Writing;4;Assignment Completed;VERDADERO;47
SESSION00261;Graduate;History;16/05/2025;2709;6;Studying;3;Idea Drafted;VERDADERO;25
SESSION00262;Graduate;Computer Science;04/09/2024;1034;4;Coding;3;Gave Up;FALSO;25
SESSION00263;Undergraduate;Biology;01/01/2025;6756;21;Writing;3;Assignment Completed;FALSO;38
SESSION00264;Undergraduate;Math;22/01/2025;1713;6;Studying;4;Gave Up;FALSO;38
SESSION00265;Undergraduate;Engineering;24/09/2024;364;1;Writing;4;Confused;FALSO;37
SESSION00266;Undergraduate;Math;17/07/2024;1254;4;Writing;3;Idea Drafted;FALSO;30
SESSION00267;Undergraduate;Computer Science;07/12/2024;232;1;Writing;2;Assignment Completed;VERDADERO;23
SESSION00268;Undergraduate;Engineering;13/09/2024;1081;2;Coding;5;Assignment Completed;VERDADERO;50
SESSION00269;Undergraduate;Computer Science;17/02/2025;2042;5;Coding;4;Assignment Completed;VERDADERO;25
SESSION00270;High School;Computer Science;09/03/2025;1665;3;Coding;4;Assignment Completed;VERDADERO;48
SESSION00271;Graduate;Computer Science;21/11/2024;3777;11;Writing;3;Assignment Completed;VERDADERO;39
SESSION00272;Graduate;Psychology;06/09/2024;261;1;Writing;4;Assignment Completed;VERDADERO;50
SESSION00273;High School;History;10/05/2025;913;4;Coding;5;Assignment Completed;FALSO;41
